V.P. Area,System,Status,ITEA RFS #,Short Description,Date Received,Target Date,Low Estimate,High Estimate
Business Services,Ariba,Not Started,14357,Remove MERS number,10/14/03,6/30/04,40,80
Business Services,Ariba,Not Started,14821,Work with zone to create monthly list of csv files,1/5/04,3/31/04,20,30
Business Services,Ariba,Started,14349,Investigate and implement Ariba standard reports,10/14/03,9/30/04,80,120
Business Services,Ariba,Started,14352,PCR reroute back to the approver,10/14/03,12/31/04,40,80
Business Services,Ariba,Started,14819,Try to produce report of orders over the $100 cap,1/5/04,3/31/04,50,150
Business Services,Ariba,Started,14820,Store only last 6 digits of SS# in user.csv file,1/5/04,6/30/04,50,100
Business Services,ASER,Started,14626,"HR - Med Contrib Field Expan in FI, Ag, ASER 14626",11/13/03,1/31/04,100,150
Business Services,BUDG,Started,13985,Annual Budget System Mods for 04-05 Budget (13985),7/30/03,,100,500
Business Services,CAAC,Pending,11008,SPS - Create new F&A Base for SPS Accounts 11008,11/16/00,6/30/01,5,10
Business Services,CARS,Not Started,14731,CARS - Reflect in FMIS chg acct from CARS - 14731,12/15/03,7/1/04,100,300
Business Services,CARS,Pending,12870,CARS - Modify FMIS feeds payments to write-offs  12870,3/28/02,5/31/02,20,60
Business Services,CARS,Pending,13108,CARS - Credit balance on type W accounts 13108,6/20/02,,30,60
Business Services,CARS,Pending,14546,CARS - W-O NFEE not posting bad debt to FMIS 14546,10/30/03,,20,40
Business Services,CARS,Started,14732,CARS - Incl Reg Campus 1-2140 on Mo Recon - 14732,12/15/03,3/1/04,20,40
Business Services,COEUS,Not Started,14071,COEUS - Impl IRB module - Phase I & Phase II 14071,9/10/03,,800,1600
Business Services,FMIS,Not Started,15006,FMIS - Add Obj 49102 to SPS Front End Edit  15006,1/2/04,1/30/04,8,20
Business Services,FMIS,Pending,14094,FMIS - Fix Schedule I object mapping 14094,9/15/03,,20,40
Business Services,ODS Replication,Started,14949,Replicate 11 new tables for Paciolan interface,5/1/03,12/31/03,160,240
Business Services,ODS Reporting,Started,14913,Pacesetter - Move withdrawn proposals to result report,7/22/03,9/1/03,100,160
Business Services,PAFX,Started,13710,Employer Medical Field Expansion (13710),3/10/03,,900,1200
Business Services,PAFX,Started,13783,FSA Duplicate Claims Problem (13783),4/14/03,,8,40
Business Services,PAFX,Started,13887,Spousal Opt-out without Medical Credit (13887),6/16/03,,4,8
Business Services,PAYR,Not Started,14724,Need to Handle 2 PayPeriod 80s in FY 04-05 (14724),12/12/03,6/30/05,800,1200
Business Services,PAYR,Placeholder,15002,Modify Regional Grad Health Insurance in Paryoll Charge,1/23/04,,30,50
Business Services,PAYR,Started,12277,COBOLII Conversions (12277),9/6/01,,90,100
Business Services,PAYR,Started,13958,Payroll Year End 2003 (13958),7/17/03,,100,500
Business Services,PAYR,Started,14242,Excess Insurance W-2 Modification (14242),9/26/03,3/31/04,200,400
Business Services,PAYR,Started,14467,SS/OASDI Wage Base for 2004 (14467),10/29/03,12/30/03,4,8
Business Services,PAYR/PAFX,Pending,10999,Modify Liberty Mutual Workers Comp Data (10999),9/5/00,,40,80
Business Services,PAYR/PAFX,Placeholder,14974,Health Assessment Benefit (14974),1/16/04,,1,999
Business Services,PAYR/PAFX,Placeholder,14975,Health Savings Account Benefit (14975),1/16/04,,1,999
