STID,STATE,Th.,Sa.,Su.,Th.,Sa.,Su.,Th.,Sa.,Su.
1,Alabama,152.89,49.30,14.66,152.89,141.38,135.63,152.89,49.41,14.68
5,Arkansas,111.00,31.68,5.24,111.00,102.32,97.98,111.00,31.81,5.24
9,Connecticut,9.44,6.18,5.09,9.44,9.04,8.85,9.44,6.16,5.14
10,Delaware,6.88,2.91,1.59,6.88,6.42,6.21,6.88,2.91,1.61
11,District of Columbia,2.59,1.06,0.55,2.59,2.59,2.59,2.59,1.04,0.59
12,Florida*,49.00,20.21,10.61,93.45,88.33,85.99,93.45,41.16,24.40
13,Georgia,80.73,37.49,23.07,80.73,75.83,73.60,80.73,37.49,23.22
17,Illinois,57.66,36.26,29.13,57.66,55.12,53.86,57.66,36.24,29.14
18,Indiana,102.84,33.59,10.51,102.84,95.11,91.26,102.84,33.66,10.53
19,Iowa,75.80,25.42,8.45,75.80,70.24,67.46,75.80,25.48,8.46
20,Kansas*,104.08,28.61,3.45,219.41,202.41,193.91,219.41,64.27,12.22
21,Kentucky,239.78,69.03,12.11,239.78,220.90,212.15,239.78,69.26,12.21
22,Louisiana,324.75,86.63,7.18,324.75,298.80,285.83,324.75,87.03,7.18
23,Maine,18.35,7.55,3.95,18.35,18.35,18.35,18.35,7.42,4.25
24,Maryland,43.35,26.00,20.22,43.35,41.22,40.25,43.35,25.87,20.56
25,Massachusetts,34.61,15.13,8.64,34.61,32.23,31.15,34.61,15.05,8.88
26,Michigan,113.50,50.45,27.42,113.50,106.39,103.15,113.50,50.21,28.15
27,Minnesota,40.70,17.65,9.94,40.70,38.06,36.75,40.70,17.66,9.95
28,Mississippi,138.90,39.64,6.52,138.90,128.07,122.66,138.90,39.81,6.52
29,Missouri,37.90,15.27,7.71,37.90,35.35,34.08,37.90,15.29,7.71
31,Nebraska*,21.18,7.05,2.34,45.62,42.88,41.51,45.62,20.90,12.62
33,New Hampshire,33.84,9.06,0.80,33.84,31.12,29.87,33.84,9.10,0.80
34,New Jersey,39.45,23.73,18.49,39.45,37.39,36.45,39.45,23.59,18.83
36,New York,108.05,43.50,21.98,108.05,100.85,97.57,108.05,43.56,22.08
37,North Carolina,57.18,42.73,37.92,57.18,55.55,54.80,57.18,42.74,37.97
38,North Dakota*,21.46,5.62,0.34,67.46,62.74,60.37,67.46,24.23,9.73
39,Ohio,107.84,45.20,24.31,107.84,100.43,97.05,107.84,45.04,24.85
40,Oklahoma*,45.60,13.62,2.95,92.18,85.24,81.77,92.18,29.04,7.82
42,Pennsylvania,60.74,39.18,31.99,60.74,60.21,59.97,60.74,38.92,32.60
44,Rhode Island,2.38,1.77,1.56,2.38,2.30,2.27,2.38,1.76,1.58
45,South Carolina,55.59,22.37,11.30,55.59,51.85,50.15,55.59,22.39,11.39
46,South Dakota*,7.81,2.22,0.36,18.87,17.70,17.11,18.87,8.24,4.68
47,Tennessee,64.24,34.86,24.95,64.24,60.69,58.95,64.24,34.80,25.06
48,Texas*,22.40,12.79,9.20,71.71,67.78,65.82,71.71,38.46,27.08
50,Vermont,7.80,4.24,3.06,7.80,7.37,7.17,7.80,4.23,3.10
51,Virginia,125.97,49.72,24.30,125.97,117.19,113.18,125.97,49.65,24.71
54,West Virginia,13.09,8.96,7.59,13.09,12.52,12.26,13.09,8.91,7.70
55,Wisconsin,57.35,25.12,14.38,57.35,53.59,51.71,57.35,25.11,14.40
